CNumber,kinase,inhibition,screen_concentration
66,ABL,32,10
119,ABL,36,10
119,ABL,32,1
180,ABL,43,0.1
180,ABL,6,1
180,ABL,4,10
208,ABL,3,10
219,ABL,31,0.1
219,ABL,7,1
278,ABL,3,1
278,ABL,27,0.1
279,ABL,17,1
313,ABL,1,1
313,ABL,2,0.1
328,ABL,0,1
328,ABL,0,0.1
329,ABL,0,1
329,ABL,1,0.1
341,ABL,45,1
23,AMPK,46,1
23,AMPK,13,10
25,AMPK,5,0.1
25,AMPK,6,1
25,AMPK,4,10
47,AMPK,4,10
49,AMPK,16,0.1
53,AMPK,26,1
54,AMPK,24,10
55,AMPK,19,10
56,AMPK,26,10
56,AMPK,24,1
64,AMPK,10,1
64,AMPK,9,10
66,AMPK,17,0.1
66,AMPK,4,1
66,AMPK,14,10
71,AMPK,15,1
96,AMPK,26,0.1
96,AMPK,17,10
96,AMPK,39,1
114,AMPK,44,1
119,AMPK,10,10
119,AMPK,17,1
122,AMPK,8,0.01
127,AMPK,25,10
127,AMPK,46,0.1
127,AMPK,20,1
128,AMPK,14,10
146,AMPK,2,1
146,AMPK,1,10
146,AMPK,49,0.1
172,AMPK,49,1
172,AMPK,22,10
208,AMPK,22,10
219,AMPK,25,0.1
219,AMPK,22,1
259,AMPK,27,1
259,AMPK,34,10
279,AMPK,24,1
289,AMPK,6,0.01
289,AMPK,2,0.1
289,AMPK,1,1
294,AMPK,1,10
294,AMPK,5,1
300,AMPK,1,1
300,AMPK,7,0.1
313,AMPK,2,1
313,AMPK,2,0.1
119,AMPK (hum),3,10
119,AMPK (hum),4,1
279,AMPK (hum),15,1
289,AMPK (hum),4,0.01
289,AMPK (hum),3,0.1
289,AMPK (hum),1,1
294,AMPK (hum),1,10
294,AMPK (hum),3,1
300,AMPK (hum),2,1
300,AMPK (hum),5,0.1
313,AMPK (hum),1,1
313,AMPK (hum),2,0.1
320,AMPK (hum),28,0.1
320,AMPK (hum),5,1
339,AMPK (hum),10,10
339,AMPK (hum),40,1
341,AMPK (hum),2,1
355,AMPK (hum),39,1
356,AMPK (hum),15,1
66,ASK1,6,10
208,ASK1,8,10
290,ASK1,44,1
290,ASK1,10,10
293,ASK1,44,100
294,ASK1,3,10
294,ASK1,15,1
18,Aurora A,4,10
18,Aurora A,24,1
26,Aurora A,20,0.1
26,Aurora A,2,1
64,Aurora A,29,1
64,Aurora A,6,10
66,Aurora A,0,1
66,Aurora A,0,10
91,Aurora A,0,10
91,Aurora A,3,0.1
91,Aurora A,3,1
119,Aurora A,3,10
119,Aurora A,2,1
133,Aurora A,2,5
133,Aurora A,2,1
141,Aurora A,45,10
172,Aurora A,17,1
172,Aurora A,3,10
175,Aurora A,49,0.1
175,Aurora A,10,1
175,Aurora A,20,10
183,Aurora A,5,10
183,Aurora A,30,1
207,Aurora A,42,1
208,Aurora A,1,10
219,Aurora A,18,0.1
219,Aurora A,3,1
221,Aurora A,32,100
259,Aurora A,15,1
259,Aurora A,2,10
289,Aurora A,28,0.01
289,Aurora A,4,0.1
289,Aurora A,5,1
294,Aurora A,3,10
294,Aurora A,12,1
313,Aurora A,10,1
313,Aurora A,48,0.1
16,Aurora B,15,10
23,Aurora B,6,1
23,Aurora B,4,10
26,Aurora B,17,0.01
26,Aurora B,1,10
26,Aurora B,5,0.1
26,Aurora B,3,1
43,Aurora B,12,10
49,Aurora B,23,0.1
50,Aurora B,17,0.1
50,Aurora B,14,1
50,Aurora B,12,10
53,Aurora B,17,1
63,Aurora B,5,10
63,Aurora B,21,1
64,Aurora B,6,1
64,Aurora B,4,10
66,Aurora B,5,1
66,Aurora B,35,10
67,Aurora B,49,1
71,Aurora B,14,1
111,Aurora B,45,10
114,Aurora B,14,1
115,Aurora B,35,1
115,Aurora B,23,10
119,Aurora B,2,10
119,Aurora B,3,1
120,Aurora B,3,1
120,Aurora B,2,10
125,Aurora B,7,1
125,Aurora B,8,10
129,Aurora B,23,10
129,Aurora B,37,1
133,Aurora B,5,10
133,Aurora B,2,5
133,Aurora B,2,1
144,Aurora B,15,10
151,Aurora B,46,0.1
151,Aurora B,27,1
175,Aurora B,43,0.1
175,Aurora B,11,1
175,Aurora B,12,10
208,Aurora B,41,10
219,Aurora B,36,0.1
219,Aurora B,11,1
280,Aurora B,40,1
280,Aurora B,48,10
289,Aurora B,49,0.01
289,Aurora B,46,0.1
289,Aurora B,39,1
293,Aurora B,23,100
294,Aurora B,1,10
294,Aurora B,4,1
300,Aurora B,7,1
300,Aurora B,35,0.1
313,Aurora B,14,1
313,Aurora B,23,0.1
317,Aurora B,6,1
317,Aurora B,34,0.1
320,Aurora B,7,0.1
320,Aurora B,2,1
339,Aurora B,13,10
339,Aurora B,49,1
341,Aurora B,23,1
345,Aurora B,39,1
349,Aurora B,42,1
6,Aurora C,30,50
16,Aurora C,34,10
23,Aurora C,8,1
23,Aurora C,6,10
26,Aurora C,26,0.01
26,Aurora C,2,10
49,Aurora C,26,0.1
50,Aurora C,48,0.1
50,Aurora C,13,1
50,Aurora C,7,10
53,Aurora C,19,1
71,Aurora C,15,1
89,Aurora C,47,1
89,Aurora C,17,10
114,Aurora C,20,1
119,Aurora C,7,1
120,Aurora C,10,1
120,Aurora C,1,10
125,Aurora C,17,1
125,Aurora C,7,10
66,BRK,4,10
208,BRK,7,10
211,BRK,8,10
211,BRK,4,1
211,BRK,10,0.1
219,BRK,46,0.1
219,BRK,6,1
223,BRK,42,10
223,BRK,27,1
259,BRK,21,1
259,BRK,5,10
278,BRK,3,1
278,BRK,30,0.1
289,BRK,28,0.01
289,BRK,16,0.1
289,BRK,4,1
293,BRK,47,100
313,BRK,8,1
313,BRK,31,0.1
317,BRK,10,1
317,BRK,42,0.1
328,BRK,2,1
328,BRK,5,0.1
19,BRSK1,14,0.1
64,BRSK1,40,1
64,BRSK1,34,10
66,BRSK1,11,1
66,BRSK1,5,10
96,BRSK1,24,10
96,BRSK1,38,1
119,BRSK1,18,10
119,BRSK1,13,1
133,BRSK1,24,5
133,BRSK1,29,1
149,BRSK1,46,0.1
149,BRSK1,31,1
208,BRSK1,8,10
259,BRSK1,31,1
259,BRSK1,8,10
279,BRSK1,23,1
294,BRSK1,1,10
294,BRSK1,3,1
313,BRSK1,2,1
313,BRSK1,14,0.1
320,BRSK1,44,0.1
320,BRSK1,12,1
341,BRSK1,30,1
10,BRSK2,37,1
25,BRSK2,13,0.1
25,BRSK2,10,1
25,BRSK2,18,10
28,BRSK2,39,1
28,BRSK2,10,10
34,BRSK2,42,25
43,BRSK2,23,10
49,BRSK2,48,0.1
53,BRSK2,38,1
55,BRSK2,42,10
64,BRSK2,31,1
64,BRSK2,30,10
66,BRSK2,9,0.1
66,BRSK2,3,1
66,BRSK2,3,10
67,BRSK2,41,1
71,BRSK2,14,1
77,BRSK2,22,20
78,BRSK2,2,100
114,BRSK2,43,1
119,BRSK2,6,10
119,BRSK2,13,1
122,BRSK2,27,0.01
133,BRSK2,48,10
133,BRSK2,14,5
133,BRSK2,39,1
149,BRSK2,4,10
149,BRSK2,41,0.1
149,BRSK2,43,1
205,BRSK2,42,10
208,BRSK2,2,10
221,BRSK2,46,100
259,BRSK2,28,1
259,BRSK2,11,10
279,BRSK2,21,1
289,BRSK2,16,0.01
289,BRSK2,10,0.1
289,BRSK2,8,1
294,BRSK2,2,10
294,BRSK2,6,1
313,BRSK2,2,1
313,BRSK2,10,0.1
341,BRSK2,41,1
43,BTK,18,10
63,BTK,26,1
63,BTK,10,10
66,BTK,8,0.1
66,BTK,4,1
66,BTK,19,10
89,BTK,12,0.1
89,BTK,3,1
90,BTK,9,0.1
90,BTK,16,1
90,BTK,14,10
96,BTK,10,10
96,BTK,40,1
133,BTK,27,10
133,BTK,19,5
133,BTK,28,1
139,BTK,5,10
139,BTK,48,0.1
139,BTK,21,1
172,BTK,47,1
172,BTK,16,10
175,BTK,34,0.1
175,BTK,12,1
175,BTK,9,10
208,BTK,16,10
219,BTK,22,0.1
219,BTK,14,1
279,BTK,37,1
289,BTK,49,0.01
289,BTK,11,0.1
289,BTK,9,1
300,BTK,14,1
300,BTK,44,0.1
313,BTK,7,1
313,BTK,16,0.1
328,BTK,1,1
328,BTK,1,0.1
329,BTK,1,1
329,BTK,1,0.1
43,CAMK1,19,10
66,CAMK1,46,0.1
66,CAMK1,15,1
66,CAMK1,3,10
69,CAMK1,38,10
133,CAMK1,7,10
133,CAMK1,3,5
133,CAMK1,6,1
156,CAMK1,19,10
156,CAMK1,49,1
172,CAMK1,48,1
172,CAMK1,8,10
208,CAMK1,4,10
221,CAMK1,45,100
313,CAMK1,15,1
313,CAMK1,48,0.1
343,CAMK1,42,1
352,CAMK1,22,1
353,CAMK1,30,1
355,CAMK1,4,1
356,CAMK1,3,1
49,CAMKK alpha ,37,0.1
119,CAMKK alpha ,20,1
17,CAMKK beta ,14,10
17,CAMKK beta ,16,1
17,CAMKK beta ,24,0.1
44,CAMKK beta ,49,3
49,CAMKK beta ,16,0.1
71,CAMKK beta ,27,1
91,CAMKK beta ,19,10
91,CAMKK beta ,22,0.1
91,CAMKK beta ,19,1
98,CAMKK beta ,42,10
98,CAMKK beta ,27,20
101,CAMKK beta ,43,10
114,CAMKK beta ,40,1
117,CAMKK beta ,9,0.1
117,CAMKK beta ,4,1
117,CAMKK beta ,5,10
119,CAMKK beta ,9,10
119,CAMKK beta ,12,1
122,CAMKK beta ,20,0.01
139,CAMKK beta ,7,10
139,CAMKK beta ,47,0.1
139,CAMKK beta ,24,1
146,CAMKK beta ,2,1
146,CAMKK beta ,2,10
146,CAMKK beta ,11,0.1
149,CAMKK beta ,30,10
149,CAMKK beta ,39,0.1
149,CAMKK beta ,20,1
180,CAMKK beta ,43,0.1
180,CAMKK beta ,13,1
180,CAMKK beta ,8,10
208,CAMKK beta ,4,10
222,CAMKK beta ,8,10
222,CAMKK beta ,10,1
259,CAMKK beta ,9,1
259,CAMKK beta ,5,10
279,CAMKK beta ,38,1
280,CAMKK beta ,37,1
280,CAMKK beta ,43,10
290,CAMKK beta ,28,1
290,CAMKK beta ,7,10
291,CAMKK beta ,40,1
291,CAMKK beta ,10,10
294,CAMKK beta ,10,10
294,CAMKK beta ,33,1
300,CAMKK beta ,15,1
300,CAMKK beta ,35,0.1
313,CAMKK beta ,2,1
313,CAMKK beta ,4,0.1
339,CAMKK beta ,7,10
339,CAMKK beta ,21,1
341,CAMKK beta ,3,1
10,CDK2-Cyclin A,10,1
11,CDK2-Cyclin A,23,10
47,CDK2-Cyclin A,2,10
49,CDK2-Cyclin A,10,0.1
63,CDK2-Cyclin A,8,10
63,CDK2-Cyclin A,35,1
66,CDK2-Cyclin A,41,0.1
66,CDK2-Cyclin A,1,1
66,CDK2-Cyclin A,6,10
67,CDK2-Cyclin A,14,1
91,CDK2-Cyclin A,3,10
91,CDK2-Cyclin A,35,0.1
91,CDK2-Cyclin A,15,1
93,CDK2-Cyclin A,10,0.1
93,CDK2-Cyclin A,3,1
96,CDK2-Cyclin A,3,0.1
96,CDK2-Cyclin A,3,10
96,CDK2-Cyclin A,4,1
97,CDK2-Cyclin A,4,1
97,CDK2-Cyclin A,3,10
114,CDK2-Cyclin A,49,1
122,CDK2-Cyclin A,44,0.01
152,CDK2-Cyclin A,48,1
172,CDK2-Cyclin A,12,1
172,CDK2-Cyclin A,3,10
173,CDK2-Cyclin A,32,1
173,CDK2-Cyclin A,6,10
181,CDK2-Cyclin A,5,0.1
181,CDK2-Cyclin A,2,1
208,CDK2-Cyclin A,5,10
219,CDK2-Cyclin A,34,0.1
219,CDK2-Cyclin A,7,1
279,CDK2-Cyclin A,41,1
280,CDK2-Cyclin A,25,1
280,CDK2-Cyclin A,23,10
289,CDK2-Cyclin A,18,0.01
289,CDK2-Cyclin A,9,0.1
289,CDK2-Cyclin A,8,1
294,CDK2-Cyclin A,5,10
294,CDK2-Cyclin A,5,1
313,CDK2-Cyclin A,2,1
313,CDK2-Cyclin A,6,0.1
339,CDK2-Cyclin A,5,10
339,CDK2-Cyclin A,21,1
341,CDK2-Cyclin A,6,1
252,CDK9-Cyclin T1,42,1
252,CDK9-Cyclin T1,22,0.1
280,CDK9-Cyclin T1,26,1
280,CDK9-Cyclin T1,21,10
294,CDK9-Cyclin T1,2,10
294,CDK9-Cyclin T1,11,1
313,CDK9-Cyclin T1,4,1
313,CDK9-Cyclin T1,11,0.1
341,CDK9-Cyclin T1,12,1
47,CHK1,6,10
49,CHK1,1,0.1
66,CHK1,1,0.1
66,CHK1,9,1
66,CHK1,7,10
71,CHK1,18,1
122,CHK1,11,0.01
139,CHK1,1,10
139,CHK1,39,0.1
139,CHK1,8,1
208,CHK1,16,10
259,CHK1,37,1
259,CHK1,12,10
289,CHK1,11,0.01
289,CHK1,4,0.1
289,CHK1,3,1
290,CHK1,44,1
290,CHK1,12,10
294,CHK1,4,10
294,CHK1,16,1
313,CHK1,11,1
313,CHK1,34,0.1
339,CHK1,13,10
339,CHK1,37,1
10,CHK2,13,1
24,CHK2,32,0
24,CHK2,7,0.01
24,CHK2,0,0.1
25,CHK2,-1,0.1
25,CHK2,-5,1
25,CHK2,1,10
64,CHK2,19,1
64,CHK2,19,10
66,CHK2,14,0.1
66,CHK2,4,1
66,CHK2,5,10
67,CHK2,28,1
91,CHK2,4,10
91,CHK2,20,0.1
91,CHK2,18,1
98,CHK2,11,10
98,CHK2,6,20
114,CHK2,44,1
115,CHK2,11,1
115,CHK2,2,10
119,CHK2,11,10
119,CHK2,14,1
120,CHK2,16,1
120,CHK2,4,10
127,CHK2,13,10
127,CHK2,46,0.1
127,CHK2,7,1
139,CHK2,-7,10
139,CHK2,8,0.1
139,CHK2,4,1
140,CHK2,-5,10
140,CHK2,37,0.1
140,CHK2,8,1
151,CHK2,34,0.1
151,CHK2,9,1
156,CHK2,5,10
156,CHK2,48,1
183,CHK2,9,10
183,CHK2,39,1
207,CHK2,34,1
208,CHK2,3,10
219,CHK2,48,0.1
219,CHK2,12,1
222,CHK2,4,10
222,CHK2,7,1
259,CHK2,3,1
259,CHK2,3,10
289,CHK2,24,0.01
289,CHK2,5,0.1
289,CHK2,2,1
290,CHK2,12,1
290,CHK2,2,10
291,CHK2,18,1
291,CHK2,3,10
293,CHK2,21,100
294,CHK2,10,10
294,CHK2,38,1
311,CHK2,12,10
311,CHK2,47,1
313,CHK2,1,1
313,CHK2,1,0.1
329,CHK2,10,1
329,CHK2,37,0.1
339,CHK2,8,10
339,CHK2,36,1
352,CHK2,24,1
353,CHK2,21,1
355,CHK2,10,1
356,CHK2,9,1
2,CK1 delta ,30,1
2,CK1 delta ,4,10
28,CK1 delta ,30,1
28,CK1 delta ,4,10
35,CK1 delta ,14,1
35,CK1 delta ,47,0.1
35,CK1 delta ,2,10
42,CK1 delta ,3,10
62,CK1 delta ,9,25
100,CK1 delta ,8,1
100,CK1 delta ,0,10
114,CK1 delta ,15,1
157,CK1 delta ,14,20
157,CK1 delta ,19,10
169,CK1 delta ,19,1
169,CK1 delta ,9,10
184,CK1 delta ,11,10
184,CK1 delta ,31,1
279,CK1 delta ,9,1
293,CK1 delta ,24,100
294,CK1 delta ,4,10
294,CK1 delta ,19,1
310,CK1 delta ,15,1
310,CK1 delta ,45,0.1
313,CK1 delta ,6,1
313,CK1 delta ,7,0.1
279,CK1 gamma 2,39,1
293,CK1 gamma 2,16,100
313,CK1 gamma 2,10,1
313,CK1 gamma 2,26,0.1
73,CK2,40,5
73,CK2,23,10
73,CK2,2,50
135,CK2,30,1
135,CK2,6,10
138,CK2,20,1
138,CK2,4,10
156,CK2,7,10
156,CK2,46,1
157,CK2,26,20
157,CK2,38,10
185,CK2,5,10
185,CK2,11,1
219,CK2,33,0.1
219,CK2,6,1
294,CK2,5,10
294,CK2,23,1
313,CK2,1,1
313,CK2,1,0.1
18,CLK2,11,10
18,CLK2,26,1
35,CLK2,9,1
35,CLK2,38,0.1
35,CLK2,1,10
41,CLK2,7,10
41,CLK2,38,1
45,CLK2,30,1
64,CLK2,47,1
64,CLK2,18,10
66,CLK2,2,1
66,CLK2,3,10
91,CLK2,1,10
91,CLK2,3,0.1
91,CLK2,3,1
93,CLK2,17,0.1
93,CLK2,4,1
96,CLK2,0,10
96,CLK2,1,1
119,CLK2,7,10
119,CLK2,5,1
139,CLK2,40,0.1
139,CLK2,6,1
142,CLK2,35,0.2
142,CLK2,22,1
149,CLK2,35,0.1
149,CLK2,8,1
151,CLK2,30,0.1
151,CLK2,6,1
169,CLK2,18,1
169,CLK2,3,10
172,CLK2,3,10
172,CLK2,15,1
173,CLK2,7,10
173,CLK2,43,1
181,CLK2,16,0.1
181,CLK2,4,1
203,CLK2,47,10
203,CLK2,10,100
207,CLK2,30,1
208,CLK2,2,10
219,CLK2,30,0.1
219,CLK2,11,1
252,CLK2,18,1
252,CLK2,49,0.1
259,CLK2,14,1
259,CLK2,3,10
279,CLK2,2,1
280,CLK2,14,1
280,CLK2,12,10
289,CLK2,9,0.01
289,CLK2,-1,0.1
289,CLK2,-1,1
291,CLK2,36,1
291,CLK2,5,10
293,CLK2,37,100
294,CLK2,0,10
294,CLK2,2,1
300,CLK2,4,1
300,CLK2,25,0.1
313,CLK2,0,1
313,CLK2,1,0.1
339,CLK2,1,10
339,CLK2,6,1
341,CLK2,49,1
351,CLK2,2,10
351,CLK2,17,1
2,CSK,31,1
2,CSK,5,10
3,CSK,36,1
3,CSK,6,10
115,CSK,12,1
115,CSK,2,10
208,CSK,36,10
211,CSK,3,10
211,CSK,15,1
211,CSK,25,0.1
66,DAPK1,6,1
66,DAPK1,8,10
96,DAPK1,6,10
96,DAPK1,43,1
134,DAPK1,37,10
134,DAPK1,16,30
138,DAPK1,17,10
138,DAPK1,47,1
149,DAPK1,28,0.1
149,DAPK1,7,1
158,DAPK1,35,1
158,DAPK1,12,10
172,DAPK1,6,1
172,DAPK1,4,10
185,DAPK1,17,10
185,DAPK1,47,1
208,DAPK1,7,10
290,DAPK1,43,1
290,DAPK1,9,10
294,DAPK1,10,10
294,DAPK1,39,1
313,DAPK1,1,1
313,DAPK1,1,0.1
119,DDR2,24,10
119,DDR2,31,1
175,DDR2,24,0.1
175,DDR2,5,1
175,DDR2,8,10
226,DDR2,45,0.01
226,DDR2,9,0.1
226,DDR2,7,1
278,DDR2,2,1
278,DDR2,20,0.1
279,DDR2,28,1
286,DDR2,6,1
286,DDR2,8,0.1
286,DDR2,17,0.01
300,DDR2,1,1
300,DDR2,8,0.1
313,DDR2,0,1
313,DDR2,1,0.1
328,DDR2,0,1
328,DDR2,1,0.1
329,DDR2,2,1
329,DDR2,22,0.1
341,DDR2,10,1
5,DYRK1A,10,0.01
5,DYRK1A,7,0.1
12,DYRK1A,33,1
12,DYRK1A,9,10
25,DYRK1A,42,0.1
25,DYRK1A,11,1
25,DYRK1A,27,10
35,DYRK1A,8,1
35,DYRK1A,44,0.1
35,DYRK1A,2,10
41,DYRK1A,3,10
41,DYRK1A,25,1
43,DYRK1A,6,10
47,DYRK1A,0,10
49,DYRK1A,33,0.1
58,DYRK1A,29,1
60,DYRK1A,44,1
61,DYRK1A,9,1
61,DYRK1A,2,10
66,DYRK1A,26,0.1
66,DYRK1A,1,1
66,DYRK1A,0,10
69,DYRK1A,38,10
71,DYRK1A,38,1
92,DYRK1A,47,10
96,DYRK1A,36,0.1
96,DYRK1A,3,10
96,DYRK1A,4,1
101,DYRK1A,4,10
102,DYRK1A,46,2
102,DYRK1A,30,10
103,DYRK1A,41,10
103,DYRK1A,41,20
114,DYRK1A,40,1
119,DYRK1A,30,10
119,DYRK1A,45,1
135,DYRK1A,21,1
135,DYRK1A,3,10
138,DYRK1A,5,10
138,DYRK1A,27,1
169,DYRK1A,16,1
169,DYRK1A,3,10
185,DYRK1A,40,10
185,DYRK1A,47,1
208,DYRK1A,0,10
279,DYRK1A,4,1
289,DYRK1A,29,0.01
289,DYRK1A,8,0.1
289,DYRK1A,3,1
294,DYRK1A,1,10
294,DYRK1A,3,1
313,DYRK1A,1,1
313,DYRK1A,0,0.1
339,DYRK1A,1,10
339,DYRK1A,2,1
341,DYRK1A,31,1
12,DYRK2,12,1
12,DYRK2,4,10
25,DYRK2,19,0.1
25,DYRK2,2,1
25,DYRK2,0,10
41,DYRK2,2,10
41,DYRK2,3,1
43,DYRK2,0,10
61,DYRK2,28,1
61,DYRK2,15,10
66,DYRK2,26,0.1
66,DYRK2,1,1
66,DYRK2,5,10
95,DYRK2,40,1
95,DYRK2,1,50
95,DYRK2,15,10
114,DYRK2,18,1
135,DYRK2,7,1
135,DYRK2,2,10
138,DYRK2,3,10
138,DYRK2,16,1
149,DYRK2,7,10
149,DYRK2,35,0.1
149,DYRK2,8,1
156,DYRK2,1,10
156,DYRK2,45,1
169,DYRK2,12,1
169,DYRK2,2,10
172,DYRK2,3,10
172,DYRK2,16,1
208,DYRK2,13,10
261,DYRK2,44,1
261,DYRK2,21,10
280,DYRK2,40,1
280,DYRK2,36,10
289,DYRK2,41,0.01
289,DYRK2,9,0.1
289,DYRK2,4,1
291,DYRK2,40,1
291,DYRK2,9,10
294,DYRK2,1,10
294,DYRK2,4,1
313,DYRK2,1,1
313,DYRK2,1,0.1
339,DYRK2,4,10
339,DYRK2,20,1
357,DYRK2,17,1
5,DYRK3,41,0.01
5,DYRK3,8,0.1
12,DYRK3,24,1
12,DYRK3,9,10
16,DYRK3,47,10
25,DYRK3,19,0.1
25,DYRK3,4,1
25,DYRK3,1,10
34,DYRK3,46,25
41,DYRK3,4,10
41,DYRK3,5,1
43,DYRK3,5,10
49,DYRK3,33,0.1
52,DYRK3,42,1
52,DYRK3,4,10
55,DYRK3,34,10
58,DYRK3,49,1
61,DYRK3,33,1
61,DYRK3,6,10
66,DYRK3,7,0.1
66,DYRK3,1,1
66,DYRK3,4,10
71,DYRK3,40,1
78,DYRK3,30,100
95,DYRK3,38,1
95,DYRK3,2,50
95,DYRK3,8,10
98,DYRK3,31,10
98,DYRK3,5,20
103,DYRK3,47,10
103,DYRK3,40,20
114,DYRK3,30,1
135,DYRK3,15,1
135,DYRK3,6,10
138,DYRK3,3,10
138,DYRK3,18,1
149,DYRK3,2,10
149,DYRK3,22,0.1
149,DYRK3,5,1
157,DYRK3,32,20
157,DYRK3,47,10
169,DYRK3,23,1
169,DYRK3,6,10
172,DYRK3,10,10
172,DYRK3,37,1
208,DYRK3,6,10
216,DYRK3,7,10
216,DYRK3,14,1
216,DYRK3,39,0.1
279,DYRK3,38,1
280,DYRK3,24,1
280,DYRK3,24,10
289,DYRK3,24,0.01
289,DYRK3,4,0.1
289,DYRK3,2,1
294,DYRK3,2,10
294,DYRK3,7,1
313,DYRK3,1,1
313,DYRK3,1,0.1
339,DYRK3,4,10
339,DYRK3,14,1
341,DYRK3,47,1
66,EIF2AK3,15,10
208,EIF2AK3,18,10
313,EIF2AK3,7,1
313,EIF2AK3,23,0.1
317,EIF2AK3,1,1
317,EIF2AK3,3,0.1
53,EPH-A2,48,1
89,EPH-A2,40,0.1
89,EPH-A2,11,1
90,EPH-A2,29,0.1
90,EPH-A2,28,1
90,EPH-A2,20,10
91,EPH-A2,13,10
91,EPH-A2,46,0.1
91,EPH-A2,36,1
130,EPH-A2,13,10
149,EPH-A2,3,10
149,EPH-A2,48,0.1
149,EPH-A2,45,1
172,EPH-A2,42,1
172,EPH-A2,30,10
208,EPH-A2,11,10
219,EPH-A2,28,0.1
219,EPH-A2,32,1
278,EPH-A2,14,1
278,EPH-A2,48,0.1
294,EPH-A2,17,10
294,EPH-A2,46,1
300,EPH-A2,5,1
300,EPH-A2,27,0.1
313,EPH-A2,7,1
313,EPH-A2,4,0.1
328,EPH-A2,1,1
328,EPH-A2,1,0.1
329,EPH-A2,1,1
329,EPH-A2,4,0.1
66,EPH-A4,19,1
66,EPH-A4,7,10
90,EPH-A4,13,1
90,EPH-A4,7,10
91,EPH-A4,0,10
91,EPH-A4,22,0.1
91,EPH-A4,29,1
172,EPH-A4,45,1
172,EPH-A4,16,10
208,EPH-A4,16,10
219,EPH-A4,14,0.1
219,EPH-A4,5,1
278,EPH-A4,7,1
278,EPH-A4,34,0.1
300,EPH-A4,7,1
300,EPH-A4,26,0.1
313,EPH-A4,1,1
313,EPH-A4,2,0.1
328,EPH-A4,2,1
328,EPH-A4,2,0.1
329,EPH-A4,1,1
329,EPH-A4,3,0.1
66,EPH-B1,19,10
90,EPH-B1,25,1
90,EPH-B1,5,10
172,EPH-B1,26,1
172,EPH-B1,4,10
219,EPH-B1,8,0.1
219,EPH-B1,3,1
300,EPH-B1,5,1
300,EPH-B1,34,0.1
313,EPH-B1,11,1
313,EPH-B1,5,0.1
314,EPH-B1,48,0.1
314,EPH-B1,10,1
314,EPH-B1,3,10
328,EPH-B1,-1,1
328,EPH-B1,-1,0.1
329,EPH-B1,0,1
329,EPH-B1,12,0.1
66,EPH-B2,44,1
66,EPH-B2,8,10
90,EPH-B2,10,1
90,EPH-B2,10,10
91,EPH-B2,4,10
91,EPH-B2,11,0.1
91,EPH-B2,4,1
172,EPH-B2,35,1
172,EPH-B2,8,10
208,EPH-B2,3,10
219,EPH-B2,23,0.1
219,EPH-B2,6,1
279,EPH-B2,40,1
313,EPH-B2,1,1
313,EPH-B2,1,0.1
328,EPH-B2,1,1
328,EPH-B2,1,0.1
329,EPH-B2,0,1
329,EPH-B2,1,0.1
43,EPH-B3,1,10
63,EPH-B3,37,1
63,EPH-B3,12,10
64,EPH-B3,27,10
64,EPH-B3,40,1
89,EPH-B3,30,0.1
89,EPH-B3,6,1
90,EPH-B3,23,0.1
90,EPH-B3,8,1
90,EPH-B3,5,10
91,EPH-B3,6,10
91,EPH-B3,22,0.1
91,EPH-B3,20,1
130,EPH-B3,9,10
172,EPH-B3,26,1
172,EPH-B3,6,10
208,EPH-B3,7,10
221,EPH-B3,48,100
313,EPH-B3,18,1
313,EPH-B3,9,0.1
328,EPH-B3,1,1
328,EPH-B3,1,0.1
329,EPH-B3,1,1
329,EPH-B3,16,0.1
90,EPH-B4,8,1
90,EPH-B4,6,10
91,EPH-B4,4,10
91,EPH-B4,15,0.1
91,EPH-B4,13,1
172,EPH-B4,37,1
172,EPH-B4,11,10
208,EPH-B4,12,10
328,EPH-B4,3,1
328,EPH-B4,20,0.1
329,EPH-B4,2,1
329,EPH-B4,10,0.1
43,ERK1,17,10
66,ERK1,24,0.1
66,ERK1,8,1
66,ERK1,14,10
133,ERK1,9,1
133,ERK1,8,10
133,ERK1,6,5
208,ERK1,33,10
289,ERK1,38,0.01
289,ERK1,4,0.1
289,ERK1,2,1
294,ERK1,1,10
294,ERK1,1,1
49,ERK2,46,0.1
66,ERK2,44,0.1
66,ERK2,3,1
66,ERK2,2,10
208,ERK2,22,10
216,ERK2,6,10
216,ERK2,29,1
216,ERK2,36,0.1
289,ERK2,22,0.01
289,ERK2,6,0.1
289,ERK2,5,1
294,ERK2,3,10
294,ERK2,8,1
279,ERK5,36,1
294,ERK5,4,10
294,ERK5,9,1
313,ERK5,4,1
313,ERK5,19,0.1
339,ERK5,24,10
339,ERK5,40,1
11,ERK8,37,10
12,ERK8,48,1
12,ERK8,12,10
16,ERK8,7,10
25,ERK8,5,0.1
25,ERK8,2,1
25,ERK8,1,10
35,ERK8,2,10
35,ERK8,49,0.1
35,ERK8,8,1
43,ERK8,20,10
49,ERK8,36,0.1
58,ERK8,44,1
66,ERK8,3,0.1
66,ERK8,1,1
66,ERK8,9,10
91,ERK8,1,10
91,ERK8,1,0.1
91,ERK8,1,1
92,ERK8,42,10
95,ERK8,36,1
95,ERK8,12,50
95,ERK8,10,10
97,ERK8,40,1
97,ERK8,11,10
101,ERK8,0,10
102,ERK8,16,2
102,ERK8,13,10
103,ERK8,47,10
103,ERK8,21,20
